"player_id","team_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"142","33","1","22","4","444","74","140","0","0","115","18","11","27","180"
"142","18","1","56","23","1091","141","276","0","0","297","21","18","41","353"
"495","18","1","73","18","1796","255","651","109","304","173","368","62","6","701"
"934","10","1","44","18","947","130","306","25","91","123","35","34","28","303"
"1005","19","1","7","0","19","0","5","0","2","2","2","0","1","3"
"140","15","1","57","53","2107","382","933","43","148","275","319","85","30","1012"
"701","21","1","30","18","798","42","103","0","1","345","38","29","6","132"
"933","17","1","26","12","712","98","223","27","78","72","15","18","9","251"
"933","9","1","47","12","837","79","201","28","89","84","30","16","5","210"
"619","33","1","49","3","463","76","115","0","1","97","24","17","17","178"
"932","10","1","4","1","64","4","14","0","0","11","1","2","3","13"
"932","6","1","37","7","531","58","97","0","0","107","19","13","21","150"
"775","1","1","30","2","366","28","51","0","0","74","14","4","11","69"
"930","33","1","62","1","610","54","113","0","0","115","33","21","14","134"
"493","5","1","80","80","3227","726","1611","137","379","281","450","168","23","1929"
"135","27","1","62","8","1181","160","397","48","121","108","72","28","3","410"
"849","20","1","20","0","118","21","51","2","5","27","2","4","5","62"
"133","23","1","78","78","3038","711","1538","145","414","533","214","88","76","2161"
"1004","21","1","3","0","13","1","4","0","1","3","1","0","0","2"
"491","4","1","61","44","1683","240","520","102","254","276","105","40","30","682"
"617","22","1","76","76","2156","419","838","0","4","678","203","50","146","1022"
"848","30","1","51","5","774","49","129","13","52","52","118","16","2","125"
"131","25","1","82","15","2140","300","629","105","253","318","108","87","20","867"
"129","3","1","22","3","378","59","125","28","54","56","55","14","4","170"
"129","25","1","48","2","856","133","316","28","101","86","149","36","6","353"
"1003","25","1","24","0","292","51","125","3","10","20","51","20","2","121"
"698","16","1","44","12","884","117","273","15","46","88","50","29","13","323"
"490","28","1","81","9","1971","314","755","143","383","244","244","89","4","856"
"697","21","1","43","9","522","52","99","0","0","190","27","24","17","135"
"847","16","1","80","22","1757","206","519","81","234","117","243","54","4","571"
"846","26","1","16","0","181","8","24","0","0","40","7","4","15","20"
"928","7","1","36","0","470","83","148","0","0","115","2","3","3","207"
"489","26","1","82","82","2778","381","774","78","226","414","337","74","46","924"
"123","21","1","82","82","2851","539","1154","5","52","315","148","85","31","1410"
"122","2","1","82","82","3208","531","1155","115","333","476","230","78","48","1430"
"844","16","1","49","40","1590","200","513","105","284","200","112","76","8","565"
"696","34","1","72","16","1446","193","471","69","172","274","78","39","39","537"
"694","6","1","78","13","2298","359","801","2","15","425","92","78","30","915"
"117","21","1","65","17","1602","215","373","0","0","462","40","39","67","501"
"925","10","1","15","9","380","75","178","36","87","36","92","16","6","208"
"925","7","1","43","35","1269","214","515","45","152","120","299","62","22","552"
"843","6","1","49","0","938","114","232","4","21","113","64","39","22","271"
"1002","31","1","4","0","35","2","5","0","2","5","2","0","0","6"
"924","32","1","51","22","815","52","89","0","1","177","22","14","47","128"
"691","15","1","80","46","1938","268","567","0","2","657","67","36","116","644"
"113","5","1","74","74","2489","505","1053","151","342","286","432","109","20","1373"
"112","26","1","22","9","529","92","181","1","9","88","13","15","11","198"
"112","11","1","56","9","1108","126","291","0","4","189","30","39","32","284"
"110","17","1","26","18","867","165","423","24","101","77","102","36","3","423"
"110","9","1","16","0","160","27","77","9","27","28","15","3","0","67"
"109","9","1","76","0","2297","368","874","119","349","130","241","57","14","1077"
"105","15","1","81","62","2309","432","1004","3","18","699","204","85","68","1143"
