"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Gerald Green","2017","BOS","47","0","538","95","232","39","111","85","33","9","7","262"
"JaMychal Green","2017","MEM","77","75","2101","250","500","55","145","544","84","46","34","689"
"Jeff Green","2017","ORL","69","11","1534","220","558","53","193","214","81","37","13","638"
"Blake Griffin","2017","LAC","61","61","2076","479","971","38","113","496","300","58","23","1316"
"Justin Hamilton","2017","BRK","64","7","1177","174","379","55","181","262","55","29","43","442"
"A.J. Hammons","2017","DAL","22","0","163","17","42","5","10","36","4","1","13","48"
"Tim Hardaway","2017","ATL","79","30","2154","415","912","149","417","224","182","55","15","1143"
"James Harden","2017","HOU","81","81","2947","674","1533","262","756","659","906","120","37","2356"
"Maurice Harkless","2017","POR","77","69","2223","314","624","68","194","341","89","85","70","773"
"Justin Harper","2017","PHI","3","0","31","5","12","2","7","5","2","0","0","12"
"Montrezl Harrell","2017","HOU","58","14","1064","225","345","1","7","219","64","20","42","527"
"Devin Harris","2017","DAL","65","0","1087","136","341","58","177","127","136","43","7","437"
"Gary Harris","2017","DEN","57","56","1782","320","637","107","255","178","164","71","8","851"
"Joe Harris","2017","BRK","52","11","1138","154","362","85","221","147","54","30","8","428"
"Manny Harris","2017","DAL","4","0","25","3","15","0","2","9","2","0","0","8"
"Tobias Harris","2017","DET","82","48","2567","511","1063","109","314","416","142","60","39","1321"
"Aaron Harrison","2017","CHO","5","0","17","0","4","0","2","3","3","0","0","1"
"Andrew Harrison","2017","MEM","72","18","1474","117","360","43","156","136","198","54","20","425"
"Udonis Haslem","2017","MIA","17","0","130","11","23","0","3","36","6","5","1","31"
"Spencer Hawes","2017","TOT","54","1","797","134","277","25","81","191","81","15","30","337"
"Spencer Hawes","2017","CHO","35","1","626","104","218","16","55","146","62","13","26","254"
"Spencer Hawes","2017","MIL","19","0","171","30","59","9","26","45","19","2","4","83"
"Gordon Hayward","2017","UTA","73","73","2516","545","1156","149","374","393","252","73","20","1601"
"Gerald Henderson","2017","PHI","72","41","1667","234","553","61","173","185","112","41","15","662"
"John Henson","2017","MIL","58","39","1123","159","309","0","1","295","57","29","78","392"
"Juan Hernangomez","2017","DEN","62","9","842","101","224","46","113","187","29","29","12","305"
"Willy Hernangomez","2017","NYK","72","22","1324","246","465","4","15","502","96","41","36","587"
"Mario Hezonja","2017","ORL","65","2","960","117","330","43","144","146","62","30","14","317"
"Roy Hibbert","2017","TOT","48","13","682","80","147","0","0","154","21","8","46","221"
"Roy Hibbert","2017","CHO","42","13","671","78","144","0","0","152","20","8","44","217"
"Roy Hibbert","2017","DEN","6","0","11","2","3","0","0","2","1","0","2","4"
"Buddy Hield","2017","TOT","82","55","1888","327","768","148","379","269","121","38","9","866"
"Buddy Hield","2017","NOP","57","37","1161","185","472","89","241","166","77","18","7","488"
"Buddy Hield","2017","SAC","25","18","727","142","296","59","138","103","44","20","2","378"
"Nene Hilario","2017","HOU","67","8","1198","245","397","3","9","281","65","56","40","609"
"George Hill","2017","UTA","49","49","1544","289","606","94","233","167","203","50","11","829"
"Jordan Hill","2017","MIN","7","0","47","5","13","0","0","14","0","1","0","12"
"Solomon Hill","2017","NOP","80","71","2374","183","477","94","270","307","141","71","32","563"
"Darrun Hilliard","2017","DET","39","1","381","47","126","12","46","33","33","11","2","127"
"Jrue Holiday","2017","NOP","67","61","2190","405","894","100","281","264","488","100","43","1029"
"Justin Holiday","2017","NYK","82","4","1639","233","538","97","273","225","102","65","31","629"
"Rondae Hollis-Jefferson","2017","BRK","78","50","1761","235","542","15","67","452","154","82","44","675"
"Richaun Holmes","2017","PHI","57","17","1193","230","412","27","77","311","58","42","55","559"
"Rodney Hood","2017","UTA","59","55","1593","272","666","114","307","202","96","38","11","748"
"Al Horford","2017","BOS","68","68","2193","379","801","86","242","464","337","52","87","952"
"Danuel House","2017","WAS","1","0","1","0","0","0","0","1","0","0","0","0"
"Dwight Howard","2017","ATL","74","74","2199","388","613","0","2","940","104","64","92","1002"
"Marcelo Huertas","2017","LAL","23","1","237","25","68","4","19","24","52","10","2","63"
"Josh Huestis","2017","OKC","2","0","31","6","11","2","4","9","3","0","3","14"
"Kris Humphries","2017","ATL","56","4","689","87","214","19","54","206","29","15","21","257"
"R.J. Hunter","2017","CHI","3","0","9","0","1","0","1","1","0","0","0","0"
"Serge Ibaka","2017","TOT","79","79","2422","471","982","124","317","538","75","41","124","1173"
"Serge Ibaka","2017","ORL","56","56","1710","343","703","83","214","382","60","34","91","846"
"Serge Ibaka","2017","TOR","23","23","712","128","279","41","103","156","15","7","33","327"
"Andre Iguodala","2017","GSW","76","0","1998","219","415","64","177","304","262","76","39","574"
"Ersan Ilyasova","2017","TOT","82","52","2142","384","890","142","402","481","141","58","23","1071"
"Ersan Ilyasova","2017","OKC","3","0","62","6","16","3","12","16","1","3","1","15"
"Ersan Ilyasova","2017","PHI","53","40","1447","285","648","107","298","314","97","33","14","786"
"Ersan Ilyasova","2017","ATL","26","12","633","93","226","32","92","151","43","22","8","270"
"Joe Ingles","2017","UTA","82","26","1972","204","451","123","279","260","224","96","8","581"
"Brandon Ingram","2017","LAL","79","40","2279","276","686","55","187","317","166","50","36","740"
"Kyrie Irving","2017","CLE","72","72","2525","671","1420","177","441","230","418","83","25","1816"
"Jarrett Jack","2017","NOP","2","0","33","2","3","0","1","0","5","2","0","6"
"Demetrius Jackson","2017","BOS","5","0","17","3","4","1","1","4","3","0","0","10"
"Pierre Jackson","2017","DAL","8","1","84","13","39","3","11","9","19","2","0","35"
"Reggie Jackson","2017","DET","52","50","1424","284","677","66","184","113","270","35","5","752"
"LeBron James","2017","CLE","74","74","2794","736","1344","124","342","640","646","92","44","1954"
"Al Jefferson","2017","IND","66","1","931","235","471","0","1","278","57","19","16","535"
"Richard Jefferson","2017","CLE","79","13","1614","153","343","62","186","202","78","26","10","448"
"John Jenkins","2017","PHO","4","0","13","2","5","1","2","1","1","0","0","7"
"Brandon Jennings","2017","TOT","81","13","1802","192","535","79","252","196","395","70","5","577"
"Brandon Jennings","2017","NYK","58","11","1428","163","429","68","200","152","287","55","5","496"
"Brandon Jennings","2017","WAS","23","2","374","29","106","11","52","44","108","15","0","81"
"Jonas Jerebko","2017","BOS","78","6","1232","114","262","45","130","273","71","26","17","299"
"Amir Johnson","2017","BOS","80","77","1608","213","370","27","66","365","140","52","62","520"
"Brice Johnson","2017","LAC","3","0","9","2","7","0","0","3","1","2","1","4"
"James Johnson","2017","MIA","76","5","2085","368","769","87","256","375","276","76","86","975"
"Joe Johnson","2017","UTA","78","14","1843","273","626","106","258","242","144","36","18","715"
"Stanley Johnson","2017","DET","77","1","1371","129","365","45","154","189","105","56","24","339"
"Tyler Johnson","2017","MIA","73","0","2178","357","824","93","250","293","233","84","44","1002"
"Wesley Johnson","2017","LAC","68","3","810","73","200","29","118","181","23","29","30","186"
"Nikola Jokic","2017","DEN","73","59","2038","494","854","45","139","718","359","61","56","1221"
"Dahntay Jones","2017","CLE","1","0","12","3","8","0","2","2","1","0","0","9"
"Damian Jones","2017","GSW","10","0","85","8","16","0","0","23","0","1","4","19"
"Derrick Jones","2017","PHO","32","8","545","68","121","3","11","79","12","14","13","168"
"James Jones","2017","CLE","48","2","381","44","92","31","66","38","14","7","10","132"
"Terrence Jones","2017","TOT","54","12","1270","231","491","19","75","306","58","40","54","584"
"Terrence Jones","2017","NOP","51","12","1264","231","488","19","75","303","58","39","53","584"
"Terrence Jones","2017","MIL","3","0","6","0","3","0","0","3","0","1","1","0"
"Tyus Jones","2017","MIN","60","0","774","75","181","26","73","67","156","47","5","209"
"DeAndre Jordan","2017","LAC","81","81","2570","412","577","0","2","1114","96","52","135","1029"
"Cory Joseph","2017","TOR","80","22","2003","299","661","48","135","235","265","66","13","740"
"Frank Kaminsky","2017","CHO","75","16","1954","320","802","116","354","336","162","47","34","874"
"Enes Kanter","2017","OKC","72","0","1533","402","737","5","38","482","67","32","38","1033"
"Ryan Kelly","2017","ATL","16","0","110","8","28","4","10","18","8","4","5","25"
"Michael Kidd-Gilchrist","2017","CHO","81","81","2349","295","618","1","9","565","114","81","77","743"
"Sean Kilpatrick","2017","BRK","70","24","1754","305","735","105","308","280","157","46","6","919"
"Brandon Knight","2017","PHO","54","5","1140","209","525","45","139","118","130","27","5","595"
"Kyle Korver","2017","TOT","67","22","1753","239","515","162","359","187","110","34","21","678"
"Kyle Korver","2017","ATL","32","21","894","108","246","65","159","90","75","23","13","305"
"Kyle Korver","2017","CLE","35","1","859","131","269","97","200","97","35","11","8","373"
"Kosta Koufos","2017","SAC","71","62","1419","216","392","0","1","403","47","36","48","470"
"Mindaugas Kuzminskas","2017","NYK","68","5","1016","158","369","54","168","126","69","29","11","425"
"Skal Labissiere","2017","SAC","33","12","612","117","218","3","8","162","27","16","13","289"
"Jeremy Lamb","2017","CHO","62","5","1143","226","491","41","146","264","75","27","23","603"
"Nicolas Laprovittola","2017","SAS","18","3","174","20","47","10","27","10","28","4","1","59"
"Joffrey Lauvergne","2017","TOT","70","1","980","148","336","33","98","251","70","25","6","375"
"Joffrey Lauvergne","2017","OKC","50","0","739","111","244","27","78","183","51","18","6","286"
"Joffrey Lauvergne","2017","CHI","20","1","241","37","92","6","20","68","19","7","0","89"
"Zach LaVine","2017","MIN","47","47","1749","326","710","120","310","159","139","41","10","889"
"Ty Lawson","2017","SAC","69","24","1732","237","522","34","118","179","335","74","6","681"
"Jake Layman","2017","POR","35","1","249","26","89","13","51","24","11","9","3","78"
"Courtney Lee","2017","NYK","77","74","2459","321","704","108","269","260","179","81","23","835"
"David Lee","2017","SAS","79","10","1477","248","420","0","0","440","124","31","40","576"
"Alex Len","2017","PHO","77","34","1560","230","463","3","12","510","44","37","98","613"
"Kawhi Leonard","2017","SAS","74","74","2474","636","1311","147","386","430","260","132","55","1888"
"Meyers Leonard","2017","POR","74","12","1222","146","378","74","213","236","71","13","28","401"
"Jon Leuer","2017","DET","75","34","1944","310","646","49","167","402","111","31","26","767"
"Caris LeVert","2017","BRK","57","26","1237","171","380","59","184","188","110","49","8","468"
